Company,Industry,Sector
KFC UK & Ireland,Food & Beverages,Retail
Kingfisher plc,Retail,Retail
TenneT Netherlands,Utilities,Utilities
First Derivative,Capital Markets,Financial Services
Playground Games,Computer Games,"Technology, Information and Media"
BMW UK,Motor Vehicle Manufacturing,Manufacturing
Glanbia,Food and Beverage Services,Accomodation Services
Homes England,Real Estate,Real Estate and Equipment Rental Services
Porsche Deutschland GmbH,Motor Vehicle Manufacturing,Manufacturing
Drees & Sommer,Real Estate,Real Estate and Equipment Rental Services
Douglas,Retail,Retail
Royal Ballet and Opera,Performing Arts,Entertainment Providers
Clarks,Retail,Retail
Whitbread,Hospitality,Accomodation Services
Scotch & Soda,Retail Apparel and Fashion,Retail
Iceland Foods,Retail,Retail
Ofgem,Utilities,Utilities
Lloyds Bank,Banking,Financial Services
ESB,Utilities,Utilities
Central Bank of Ireland,Banking,Financial Services
Magic Media,Computer Games,"Technology, Information and Media"
Barbican Centre,Performing Arts,Entertainment Providers
Immobilien Zeitung,Real Estate,Real Estate and Equipment Rental Services
Audi F1 Project,Motor Vehicle Manufacturing,Manufacturing
Brussels Airlines,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ghd,Retail,Retail
ClientEarth,Civic and Social Organizations,Consumer Services
Austrian Airlines,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
bunq,Banking,Financial Services
Kesko - K-Group,Retail,Retail
Salling Group,Retail,Retail
Volvo Buses,Motor Vehicle Manufacturing,Manufacturing
Greene King,Food and Beverage Services,Accomodation Services
WHSmith,Retail,Retail
Creative Assembly,Computer Games,"Technology, Information and Media"
Victoria Beckham,Luxury Goods and Jewelry,Retail
Babbel,E-Learning Providers,Education
AG Barr Group,Food and Beverage Services,Accomodation Services
The Vegetarian Butcher,Food and Beverage Services,Accomodation Services
Brown Thomas Arnotts,Retail,Retail
Newsec,Real Estate,Real Estate and Equipment Rental Services
Lichi,Retail Apparel and Fashion,Retail
Home Retail Group PLC,Retail,Retail
Cunard,"Leisure, Travel & Tourism",Administrative and Support Services
Dirk Rossmann GmbH,Retail,Retail
Astrid & Miyu,Retail Luxury Goods and Jewelry,Retail
Science Museum Group,"Museums, Historical Sites, and Zoos",Entertainment Providers
Poundland & Dealz,Retail,Retail
Sports Direct,Retail,Retail
Perkbox,Consumer Services,Consumer Services
Yamaha Motor Europe N.V.,Motor Vehicle Manufacturing,Manufacturing
LBBW,Banking,Financial Services
NatWest Commercial and Institutional,Banking,Financial Services
Hush,Retail Apparel and Fashion,Retail
Flybe,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Fastighets AB Balder,Real Estate,Real Estate and Equipment Rental Services
Sky Studios,Broadcast Media Production and Distribution,"Technology, Information and Media"
IAA MOBILITY,Motor Vehicle Manufacturing,Manufacturing
Altor Equity Partners,Capital Markets,Financial Services
Foxtons,Real Estate,Real Estate and Equipment Rental Services
RTL Deutschland,Broadcast Media Production and Distribution,"Technology, Information and Media"
BaxterStorey,Food and Beverage Services,Accomodation Services
CAA International - Part of the UK CAA,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Boels Rental,Retail,Retail
Skinnydip London,Retail,Retail
Destinus,Aviation & Aerospace,"Transportation, Logistics, Supply Chain and Storage"
SSEN Transmission,Utilities,Utilities
Uisce Éireann Irish Water,Utilities,Utilities
Ninja Theory,Computer Games,"Technology, Information and Media"
Lloyds Business & Commercial,Banking,Financial Services
Royal Swinkels,Food and Beverage Services,Accomodation Services
Dalata Hotel Group,Hospitality,Accomodation Services
The Restaurant Group,Hospitality,Accomodation Services
McArthurGlen Group,Retail,Retail
Mazda Motor Europe,Motor Vehicle Manufacturing,Manufacturing
Akelius Residential Property AB,Real Estate,Real Estate and Equipment Rental Services
Da Vinci Engineering GmbH,Motor Vehicle Manufacturing,Manufacturing
Ace & Tate,Retail Apparel and Fashion,Retail
Kappahl Group,Retail,Retail
Shazam,Entertainment Providers,Entertainment Providers
FLANNELS,Retail,Retail
Manchester Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
EirGrid Group,Utilities,Utilities
citizenM hotels,Hospitality,Accomodation Services
Messe Frankfurt GmbH,Events Services,Administrative and Support Services
Viaplay Group,Entertainment Providers,Entertainment Providers
Manolo Blahnik,Retail Apparel and Fashion,Retail
NORMAL A/S,Retail,Retail
Chapman Freeborn Airchartering,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
UKTV,Broadcast Media Production and Distribution,"Technology, Information and Media"
Heimstaden Bostad,Real Estate,Real Estate and Equipment Rental Services
Monese,Banking,Financial Services
Lidl Sverige KB,Retail,Retail
